Print_Date,Emancipation_Date_Start,Site,Emancipation_Date_End,Breed,Species_,SpayNeutered,Stage_,Photo,Location_,Sort_By,Intake_Date_From,Review_Date_From,Intake_Date_To,Review_Date_To,Pre_Altered,Show_Photo,Video
"Thursday, October 16, 2025",All,All,All,All,All,All,All,All,All,SubLocation - Alphabetical,All,All,All,All,Y,No,All

Location_1,AVG_LOS,Distinct_Animals,AnimalNumber,AnimalName,AnimalType,PrimaryBreed,Age,Color,Declawed,PreAltered,IntakeType,Sex,Stage,Location,ARN,ChipNumber,Species,SecondaryBreed,DateOfBirth,ColorPattern,EmancipationDate,SpayedNeutered,IntakeDateTime,LOSInDays,StageChangeReason,SubLocation,AnimalWeight,Danger,DangerType,NumberOfPictures,Videos,HoldReason,HorForName,HoldStartDate,HoldPlacedBy,Total_Animals
  Cat Adoption Condo Rooms,Avg. LOS: 23,30,A0059548137,Beckham,Cat,Domestic Shorthair,2y 3d,Black/,N,N,Owner/Guardian Surrender/Evaluation/Poss Adopt - FIELD!,M,Available,Cat Adoption Condo Rooms,,941010005070098,Cat,,10/13/2023 12:00:00 AM,Tabby/,,Y,10/13/2025 8:59 AM,3.20,,Condo F,10.25 pound,No,,0,No,,,,,457
  Cat Adoption Condo Rooms,Avg. LOS: 23,30,A0059548147,Spooky,Cat,Domestic Shorthair,1y 3d,Red/Lynx,N,N,Owner/Guardian Surrender/Evaluation/Poss Adopt - FIELD!,F,Available,Cat Adoption Condo Rooms,,941010004498938,Cat,,10/13/2024 12:00:00 AM,Point/,,Y,10/13/2025 8:59 AM,3.20,,Condo F,6.50 pound,No,,0,No,,,,,457
  Cat Adoption Condo Rooms,Avg. LOS: 23,30,A0059548160,Ruffy,Cat,Domestic Shorthair,1y 3d,Brown/,N,N,Owner/Guardian Surrender/Evaluation/Poss Adopt - FIELD!,F,Available,Cat Adoption Condo Rooms,,941010004771786,Cat,,10/13/2024 12:00:00 AM,Tabby/,,Y,10/13/2025 8:59 AM,3.20,,Condo F,7.25 pound,No,,0,No,,,,,457
  Cat Adoption Condo Rooms,Avg. LOS: 23,30,A0059548166,Butch,Cat,Domestic Shorthair,2y 10d,Grey/,N,N,Owner/Guardian Surrender/Evaluation/Poss Adopt - FIELD!,M,Available,Cat Adoption Condo Rooms,,941010004760374,Cat,,10/6/2023 12:00:00 AM,Tabby/,,Y,10/13/2025 8:59 AM,3.20,,Condo F,10.00 pound,No,,0,No,,,,,457
  Cat Adoption Condo Rooms,Avg. LOS: 23,30,A0059548167,Brownie,Cat,Domestic Shorthair,2y 10d,Brown/,N,N,Owner/Guardian Surrender/Evaluation/Poss Adopt - FIELD!,M,Available,Cat Adoption Condo Rooms,,941010004969704,Cat,,10/6/2023 12:00:00 AM,Tabby/,,Y,10/13/2025 8:59 AM,3.20,,Condo F,9.00 pound,No,,0,No,,,,,457
  Cat Adoption Condo Rooms,Avg. LOS: 23,30,A0059548168,Bear Claw,Cat,Domestic Shorthair,1y 3d,Grey/,N,N,Owner/Guardian Surrender/Evaluation/Poss Adopt - FIELD!,M,Available,Cat Adoption Condo Rooms,,941010004761046,Cat,,10/13/2024 12:00:00 AM,Tabby/,,Y,10/13/2025 8:59 AM,3.20,,Condo F,9.75 pound,No,,0,No,,,,,457
  Cat Adoption Condo Rooms,Avg. LOS: 23,30,A0059548170,Rootbeer,Cat,Domestic Shorthair,1y 3d,Lynx/,N,N,Owner/Guardian Surrender/Evaluation/Poss Adopt - FIELD!,M,Available,Cat Adoption Condo Rooms,,941010005022259,Cat,,10/13/2024 12:00:00 AM,Point/,,Y,10/13/2025 8:59 AM,3.20,,Condo F,9.75 pound,No,,0,No,,,,,457
  Cat Adoption Condo Rooms,Avg. LOS: 23,30,A0059548171,Left Foot,Cat,Domestic Shorthair,1y 3d,Brown/,N,N,Owner/Guardian Surrender/Evaluation/Poss Adopt - FIELD!,F,Available,Cat Adoption Condo Rooms,,941010004657008,Cat,,10/13/2024 12:00:00 AM,Tabby/,,Y,10/13/2025 8:59 AM,3.20,,Condo F,6.68 pound,No,,0,No,,,,,457
  Cat Adoption Condo Rooms,Avg. LOS: 23,30,A0059548172,Cheryl,Cat,Domestic Shorthair,1y 3d,Brown/,N,N,Owner/Guardian Surrender/Evaluation/Poss Adopt - FIELD!,F,Available,Cat Adoption Condo Rooms,,941010004755593,Cat,,10/13/2024 12:00:00 AM,Tabby/,,Y,10/13/2025 8:59 AM,3.20,,Condo F,7.75 pound,No,,0,No,,,,,457
  Cat Adoption Condo Rooms,Avg. LOS: 23,30,A0059452512,Toaster,Cat,Domestic Shorthair,2y 17d,Grey/,N,N,Stray/Abandoned/Dumped Off at SPCA,M,Available,Cat Adoption Condo Rooms,,941010004718128,Cat,,9/29/2023 12:00:00 AM,Tabby/,,Y,9/29/2025 2:19 PM,16.90,,Meet & Greet 109B,8.00 pound,No,,2,No,,,,,457
